0.99777,0.03242,0.05839,-0.01913,0.97639,-0.21516,-0.06399,0.21356,0.97483,36.1873,-122.1905,1106.6401,99.001,42.9307,836.3974,-0.62584,0.32142,4.12343
0.98857,0.04604,-0.14356,-0.07124,0.98187,-0.17565,0.13287,0.18387,0.97393,74.7102,-122.6456,1150.1673,99.0041,42.932,836.394,0.59689,0.35486,4.59813
0.99848,0.03313,-0.04399,-0.03899,0.9894,-0.13985,0.03889,0.14136,0.98919,56.6862,-142.9801,1175.6132,99.0051,42.9357,836.3984,0.00659,0.00456,4.95316
0.99914,0.02779,0.03073,-0.02556,0.99715,-0.07093,-0.03261,0.07009,0.99701,32.6838,-122.0238,1063.5948,99.0081,42.9587,836.4273,-0.54876,-0.26579,3.55443
0.99025,0.05292,-0.12886,-0.0616,0.99602,-0.06438,0.12494,0.07169,0.98957,71.1708,-140.6093,1107.0571,99.0071,42.9464,836.4031,0.48921,-0.38762,4.12345
0.94468,0.06072,0.32231,0.00866,0.97775,-0.20957,-0.32787,0.20077,0.92314,-67.4032,-123.8096,1193.6927,-86.2401,44.8387,903.5335,-0.62584,0.32142,4.12343
0.98653,0.0586,0.1527,-0.03046,0.9831,-0.18049,-0.1607,0.17341,0.97165,-16.1349,-119.1275,1198.3725,-86.2509,44.8155,903.5077,0.59689,0.35486,4.59813
0.96927,0.04205,0.24237,-0.00998,0.99119,-0.13204,-0.24579,0.12557,0.96116,-28.3081,-135.9837,1226.3919,-86.2573,44.8113,903.5528,0.00659,0.00456,4.95316
0.94476,0.03131,0.32628,-0.00363,0.99637,-0.08509,-0.32775,0.07921,0.94144,-76.1141,-129.2359,1153.4477,-86.2335,44.8509,903.5465,-0.54876,-0.26579,3.55443
0.98295,0.0269,0.1819,-0.01568,0.9979,-0.06285,-0.18321,0.05892,0.98131,-16.4282,-142.1638,1185.9129,-86.2354,44.8415,903.5397,0.48921,-0.38762,4.12345
0.99688,0.05062,-0.06055,-0.05593,0.99441,-0.08955,0.05568,0.09266,0.99414,14.3498,-128.1509,1025.5342,114.8159,0.7564,740.064,-0.62584,0.32142,4.12343
0.96965,0.04358,-0.2406,-0.06583,0.99419,-0.08522,0.23548,0.09847,0.96688,57.1362,-135.1924,1052.7116,114.8087,0.7121,739.9365,0.59689,0.35486,4.59813
0.98674,0.05389,-0.15308,-0.06498,0.99554,-0.06838,0.14872,0.07742,0.98584,29.0172,-161.5286,1098.0672,114.7857,0.6557,739.8936,0.00659,0.00456,4.95316
0.9952,0.05599,-0.08027,-0.05844,0.99788,-0.02856,0.0785,0.03312,0.99636,15.2779,-154.513,974.6406,114.822,0.8023,740.1905,-0.54876,-0.26579,3.55443
0.97079,0.0593,-0.23249,-0.06743,0.99735,-0.02719,0.23026,0.04207,0.97222,56.0353,-174.2165,1024.2316,114.8184,0.7467,740.049,0.48921,-0.38762,4.12345
0.91822,0.06149,0.39128,0.00681,0.98528,-0.17081,-0.39602,0.15951,0.90428,-92.2204,-144.9409,1022.4076,-131.6584,11.6382,740.9236,-0.62584,0.32142,4.12343
0.9724,0.06303,0.22463,-0.02562,0.98585,-0.16568,-0.23189,0.15535,0.96026,-34.1549,-150.4645,1043.8396,-131.6721,11.6299,740.9007,0.59689,0.35486,4.59813
0.94521,0.05431,0.3219,-0.01513,0.99229,-0.12299,-0.3261,0.11138,0.93875,-38.3942,-171.1982,1083.1039,-131.7072,11.608,740.8867,0.00659,0.00456,4.95316
0.91372,0.03297,0.40501,-0.00891,0.99809,-0.06114,-0.40625,0.05226,0.91227,-95.9743,-159.5619,1005.4135,-131.6279,11.6603,741.0522,-0.54876,-0.26579,3.55443
0.96979,0.04144,0.24039,-0.02548,0.99728,-0.06912,-0.2426,0.0609,0.96821,-46.5721,-177.9133,1018.5392,-131.6408,11.6493,740.9871,0.48921,-0.38762,4.12345
